gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,costat,ggroup
9783,20211231,2021,INDL,C,D,STD,KEY,USD,A,4010
9815,20211231,2021,INDL,C,D,STD,SON,USD,A,1510
9831,20211231,2021,INDL,C,D,STD,SJI,USD,A,5510
9846,20211231,2021,INDL,C,D,STD,EIX,USD,A,5510
9849,20211231,2021,INDL,C,D,STD,AWR,USD,A,5510
9850,20211231,2021,INDL,C,D,STD,SO,USD,A,5510
9882,20211231,2021,INDL,C,D,STD,LUV,USD,A,2030
9890,20211231,2021,INDL,C,D,STD,SWX,USD,A,5510
9904,20211231,2021,INDL,C,D,STD,SWN,USD,A,1010
9969,20211231,2021,INDL,C,D,STD,STAA,USD,A,3510
10000,20211231,2021,INDL,C,D,STD,SMP,USD,A,2510
10008,20210630,2021,INDL,C,D,STD,SXI,USD,A,2010
10016,20211231,2021,INDL,C,D,STD,SWK,USD,A,2010
10035,20211231,2021,INDL,C,D,STD,STT,USD,A,4020
10056,20211231,2021,INDL,C,D,STD,SCL,USD,A,1510
10086,20211231,2021,INDL,C,D,STD,STC,USD,A,4030
10096,20211231,2021,INDL,C,D,STD,PSA,USD,A,6010
10115,20211231,2021,INDL,C,D,STD,SYK,USD,A,3510
10121,20211231,2021,INDL,C,D,STD,NAVI,USD,A,4020
10124,20211231,2021,INDL,C,D,STD,RGR,USD,A,2520
10247,20210630,2021,INDL,C,D,STD,SYY,USD,A,3010
10390,20211231,2021,INDL,C,D,STD,TRC,USD,A,6010
10405,20211231,2021,INDL,C,D,STD,ATI,USD,A,1510
10407,20211231,2021,INDL,C,D,STD,TFX,USD,A,3510
10411,20211231,2021,INDL,C,D,STD,TDS,USD,A,5010
10441,20211231,2021,INDL,C,D,STD,TNC,USD,A,2010
10443,20211231,2021,INDL,C,D,STD,TEN,USD,A,2510
10453,20211231,2021,INDL,C,D,STD,TER,USD,A,4530
10499,20211231,2021,INDL,C,D,STD,TXN,USD,A,4530
10519,20211231,2021,INDL,C,D,STD,TXT,USD,A,2010
10530,20211231,2021,INDL,C,D,STD,TMO,USD,A,3520
10549,20210731,2021,INDL,C,D,STD,THO,USD,A,2510
10565,20211231,2021,INDL,C,D,STD,TDW,USD,A,1010
10567,20211231,2021,INDL,C,D,STD,SIX,USD,A,2530
10581,20211231,2021,INDL,C,D,STD,TKR,USD,A,2010
10609,20211231,2021,INDL,C,D,STD,TR,USD,A,3020
10618,20211031,2021,INDL,C,D,STD,TTC,USD,A,2010
10685,20210331,2020,INDL,C,D,STD,TRNS,USD,A,2010
10735,20211231,2021,INDL,C,D,STD,TRN,USD,A,2010
10789,20211231,2021,INDL,C,D,STD,TYL,USD,A,4510
10793,20210930,2021,INDL,C,D,STD,TSN,USD,A,3020
10795,20211231,2021,INDL,C,D,STD,UAL,USD,A,2030
10801,20210930,2021,INDL,C,D,STD,UGI,USD,A,5510
10840,20210831,2021,INDL,C,D,STD,UNF,USD,A,2020
10860,20211231,2021,INDL,C,D,STD,AEE,USD,A,5510
10867,20211231,2021,INDL,C,D,STD,UNP,USD,A,2030
10894,20211231,2021,INDL,C,D,STD,UDR,USD,A,6010
10903,20211231,2021,INDL,C,D,STD,UNH,USD,A,3510
10916,20211231,2021,INDL,C,D,STD,UMBF,USD,A,4010
10917,20211231,2021,INDL,C,D,STD,UMH,USD,A,6010
10920,20211231,2021,INDL,C,D,STD,UPS,USD,A,2030
10991,20211231,2021,INDL,C,D,STD,SGMS,USD,A,2530
10999,20211231,2021,INDL,C,D,STD,UTL,USD,A,5510
11012,20211231,2021,INDL,C,D,STD,SXT,USD,A,1510
11017,20210331,2020,INDL,C,D,STD,UVV,USD,A,3020
11032,20211231,2021,INDL,C,D,STD,UHS,USD,A,3510
11051,20211231,2021,INDL,C,D,STD,UTMD,USD,A,3510
11060,20210331,2020,INDL,C,D,STD,VFC,USD,A,2520
11065,20211231,2021,INDL,C,D,STD,VSEC,USD,A,2020
11094,20211231,2021,INDL,C,D,STD,VMI,USD,A,2010
11124,20211231,2021,INDL,C,D,STD,VECO,USD,A,4530
11191,20211231,2021,INDL,C,D,STD,VSH,USD,A,4520
11220,20211231,2021,INDL,C,D,STD,VNO,USD,A,6010
11228,20211231,2021,INDL,C,D,STD,VMC,USD,A,1510
11234,20210831,2021,INDL,C,D,STD,WDFC,USD,A,3030
11259,20210131,2020,INDL,C,D,STD,WMT,USD,A,3010
11264,20210831,2021,INDL,C,D,STD,WBA,USD,A,3010
11300,20211231,2021,INDL,C,D,STD,GHC,USD,A,2530
11301,20211231,2021,INDL,C,D,STD,WRE,USD,A,6010
11304,20211231,2021,INDL,C,D,STD,AVA,USD,A,5510
11343,20211231,2021,INDL,C,D,STD,WMK,USD,A,3010
11376,20211231,2021,INDL,C,D,STD,WST,USD,A,3520
11399,20210630,2021,INDL,C,D,STD,WDC,USD,A,4520
11456,20211231,2021,INDL,C,D,STD,WY,USD,A,6010
11465,20211231,2021,INDL,C,D,STD,WHR,USD,A,2520
11506,20211231,2021,INDL,C,D,STD,WMB,USD,A,1010
11511,20210131,2020,INDL,C,D,STD,WSM,USD,A,2550
11537,20210831,2021,INDL,C,D,STD,WGO,USD,A,2510
11550,20211231,2021,INDL,C,D,STD,WEC,USD,A,5510
11554,20211231,2021,INDL,C,D,STD,LNT,USD,A,5510
11566,20211231,2021,INDL,C,D,STD,WWW,USD,A,2520
11580,20210930,2021,INDL,C,D,STD,WWD,USD,A,2010
11584,20210131,2020,INDL,C,D,STD,FL,USD,A,2550
11600,20210531,2020,INDL,C,D,STD,WOR,USD,A,1510
11636,20211231,2021,INDL,C,D,STD,XRX,USD,A,4520
11657,20211231,2021,INDL,C,D,STD,YORW,USD,A,5510
11672,20210131,2020,INDL,C,D,STD,TJX,USD,A,2550
11687,20211231,2021,INDL,C,D,STD,ZION,USD,A,4010
11721,20210930,2021,INDL,C,D,STD,OSK,USD,A,2010
11729,20211231,2021,INDL,C,D,STD,WTM,USD,A,4030
11745,20211231,2021,INDL,C,D,STD,QLYS,USD,A,4510
11756,20211231,2021,INDL,C,D,STD,ALEX,USD,A,6010
11770,20211231,2021,INDL,C,D,STD,SF,USD,A,4020
11796,20211231,2021,INDL,C,D,STD,LCII,USD,A,2510
11811,20210630,2021,INDL,C,D,STD,JKHY,USD,A,4510
11842,20211231,2021,INDL,C,D,STD,ASB,USD,A,4010
11854,20211231,2021,INDL,C,D,STD,NMIH,USD,A,4010
11861,20211231,2021,INDL,C,D,STD,VLY,USD,A,4010
12081,20211231,2021,INDL,C,D,STD,LAND,USD,A,6010
12123,20210131,2020,INDL,C,D,STD,BIG,USD,A,2550
12124,20211231,2021,INDL,C,D,STD,MS,USD,A,4020
12138,20211231,2021,INDL,C,D,STD,TROW,USD,A,4020
12140,20211231,2021,INDL,C,D,STD,NNN,USD,A,6010
12141,20210630,2021,INDL,C,D,STD,MSFT,USD,A,4510
12142,20210531,2020,INDL,C,D,STD,ORCL,USD,A,4510
12151,20210630,2021,INDL,C,D,STD,COTY,USD,A,3030
12181,20211231,2021,INDL,C,D,STD,RGEN,USD,A,3520
12262,20211231,2021,INDL,C,D,STD,ASTE,USD,A,2010
12266,20211231,2021,INDL,C,D,STD,WERN,USD,A,2030
12379,20210430,2020,INDL,C,D,STD,AMWD,USD,A,2010
12389,20211231,2021,INDL,C,D,STD,HOG,USD,A,2510
12392,20211231,2021,INDL,C,D,STD,SKYW,USD,A,2030
12395,20211031,2021,INDL,C,D,STD,TOL,USD,A,2520
12428,20211231,2021,INDL,C,D,STD,POR,USD,A,5510
12441,20211231,2021,INDL,C,D,STD,IT,USD,A,4510
12445,20211231,2021,INDL,C,D,STD,WTS,USD,A,2010
12459,20211231,2021,INDL,C,D,STD,NVR,USD,A,2520
12471,20211231,2021,INDL,C,D,STD,INT,USD,A,1010
12482,20210930,2021,INDL,C,D,STD,CLFD,USD,A,4520
12540,20211130,2021,INDL,C,D,STD,ADBE,USD,A,4510
12544,20211231,2021,INDL,C,D,STD,JOE,USD,A,6010
12568,20210930,2021,INDL,C,D,STD,DJCO,USD,A,5020
12598,20211231,2021,INDL,C,D,STD,PTSI,USD,A,2030
12603,20211231,2021,INDL,C,D,STD,CNO,USD,A,4030
12615,20211231,2021,INDL,C,D,STD,MHO,USD,A,2520
12625,20211231,2021,INDL,C,D,STD,MRTN,USD,A,2030
12635,20211231,2021,INDL,C,D,STD,FISV,USD,A,4510
12689,20211130,2021,INDL,C,D,STD,KBH,USD,A,2520
12711,20210930,2021,INDL,C,D,STD,CVM,USD,A,3520
12726,20211231,2021,INDL,C,D,STD,UNM,USD,A,4030
12785,20211231,2021,INDL,C,D,STD,PPC,USD,A,3020
12825,20210930,2021,INDL,C,D,STD,JJSF,USD,A,3020
12840,20211231,2021,INDL,C,D,STD,HTLD,USD,A,2030
12850,20211231,2021,INDL,C,D,STD,CERN,USD,A,3510
12874,20211231,2021,INDL,C,D,STD,ICAD,USD,A,3510
12909,20211231,2021,INDL,C,D,STD,MKL,USD,A,4030
12915,20211231,2021,INDL,C,D,STD,OSUR,USD,A,3510
12945,20210930,2021,INDL,C,D,STD,PLXS,USD,A,4520
12972,20210930,2021,INDL,C,D,STD,IMKTA,USD,A,3010
13041,20211231,2021,INDL,C,D,STD,SNV,USD,A,4010
13071,20211231,2021,INDL,C,D,STD,RDNT,USD,A,3510
13092,20210930,2021,INDL,C,D,STD,JACK,USD,A,2530
13200,20211031,2021,INDL,C,D,STD,PLAB,USD,A,4530
13323,20211031,2021,INDL,C,D,STD,SAFM,USD,A,3020
13341,20211231,2021,INDL,C,D,STD,PGR,USD,A,4030
13342,20211231,2021,INDL,C,D,STD,RLI,USD,A,4030
13421,20211231,2021,INDL,C,D,STD,CDNS,USD,A,4510
13453,20211231,2021,INDL,C,D,STD,OPY,USD,A,4020
13480,20211231,2021,INDL,C,D,STD,EBIX,USD,A,4510
13498,20211130,2021,INDL,C,D,STD,CCL,USD,A,2530
13510,20211231,2021,INDL,C,D,STD,DRE,USD,A,6010
13561,20211231,2021,INDL,C,D,STD,MBI,USD,A,4030
13562,20211231,2021,INDL,C,D,STD,BDN,USD,A,6010
13570,20211231,2021,INDL,C,D,STD,MIDD,USD,A,2010
13579,20211231,2021,INDL,C,D,STD,EQC,USD,A,6010
13580,20211231,2021,INDL,C,D,STD,UHT,USD,A,6010
13602,20210430,2020,INDL,C,D,STD,CRMT,USD,A,2550
13619,20210331,2020,INDL,C,D,STD,ABMD,USD,A,3510
13623,20211231,2021,INDL,C,D,STD,CNMD,USD,A,3510
13721,20211231,2021,INDL,C,D,STD,ZTS,USD,A,3520
13786,20211231,2021,INDL,C,D,STD,HRTX,USD,A,3520
13824,20210930,2021,INDL,C,D,STD,FICO,USD,A,4510
13906,20210930,2021,INDL,C,D,STD,JOUT,USD,A,2520
13963,20211231,2021,INDL,C,D,STD,VGR,USD,A,3020
13988,20211231,2021,INDL,C,D,STD,SCHW,USD,A,4020
14027,20211231,2021,INDL,C,D,STD,CLH,USD,A,2020
14084,20211231,2021,INDL,C,D,STD,AIN,USD,A,2010
14113,20210930,2021,INDL,C,D,STD,MITK,USD,A,4510
14172,20211231,2021,INDL,C,D,STD,FULT,USD,A,4010
14225,20211231,2021,INDL,C,D,STD,FAST,USD,A,2010
14253,20211231,2021,INDL,C,D,STD,WABC,USD,A,4010
14269,20211231,2021,INDL,C,D,STD,HLF,USD,A,3030
14275,20211231,2021,INDL,C,D,STD,FRC,USD,A,4010
14282,20211231,2021,INDL,C,D,STD,APH,USD,A,4520
14309,20211231,2021,INDL,C,D,STD,IPAR,USD,A,3030
14311,20211231,2021,INDL,C,D,STD,PII,USD,A,2520
14320,20211231,2021,INDL,C,D,STD,ICPT,USD,A,3520
14359,20211231,2021,INDL,C,D,STD,PXD,USD,A,1010
14369,20211231,2021,INDL,C,D,STD,USM,USD,A,5010
14370,20211231,2021,INDL,C,D,STD,MAN,USD,A,2020
14403,20211231,2021,INDL,C,D,STD,DX,USD,A,4020
14418,20211231,2021,INDL,C,D,STD,MGM,USD,A,2530
14477,20211231,2021,INDL,C,D,STD,WM,USD,A,2020
14561,20210630,2021,INDL,C,D,STD,IIVI,USD,A,4520
14590,20211231,2021,INDL,C,D,STD,FCX,USD,A,1510
14624,20211231,2021,INDL,C,D,STD,ODP,USD,A,2550
14790,20211231,2021,INDL,C,D,STD,MTH,USD,A,2520
14793,20211231,2021,INDL,C,D,STD,ARCH,USD,A,1010
14822,20211231,2021,INDL,C,D,STD,WRB,USD,A,4030
14824,20211231,2021,INDL,C,D,STD,CINF,USD,A,4030
14828,20211231,2021,INDL,C,D,STD,ORI,USD,A,4030
14891,20211231,2021,INDL,C,D,STD,MGPI,USD,A,3020
14898,20211231,2021,INDL,C,D,STD,DDD,USD,A,4520
14934,20211231,2021,INDL,C,D,STD,DVN,USD,A,1010
14954,20210831,2021,INDL,C,D,STD,LNN,USD,A,2010
14960,20211231,2021,INDL,C,D,STD,LH,USD,A,3510
15044,20210131,2020,INDL,C,D,STD,WDAY,USD,A,4510
15060,20211231,2021,INDL,C,D,STD,CPE,USD,A,1010
15101,20211231,2021,INDL,C,D,STD,MFA,USD,A,4020
15247,20211231,2021,INDL,C,D,STD,VLO,USD,A,1010
15252,20211231,2021,INDL,C,D,STD,TRS,USD,A,1510
15267,20211231,2021,INDL,C,D,STD,IEX,USD,A,2010
15343,20211231,2021,INDL,C,D,STD,MLI,USD,A,2010
15417,20211231,2021,INDL,C,D,STD,BRO,USD,A,4030
15420,20210131,2020,INDL,C,D,STD,AMBA,USD,A,4530
15459,20211231,2021,INDL,C,D,STD,TG,USD,A,1510
15520,20210131,2020,INDL,C,D,STD,SIG,USD,A,2550
16009,20210131,2020,INDL,C,D,STD,SPWH,USD,A,2550
16101,20211231,2021,INDL,C,D,STD,ABBV,USD,A,3520
16113,20211231,2021,INDL,C,D,STD,APAM,USD,A,4020
16125,20211231,2021,INDL,C,D,STD,GMRE,USD,A,6010
16188,20211231,2021,INDL,C,D,STD,CGNX,USD,A,4520
16269,20210930,2021,INDL,C,D,STD,ENTA,USD,A,3520
16384,20211231,2021,INDL,C,D,STD,VOYA,USD,A,4020
16401,20210331,2020,INDL,C,D,STD,CRUS,USD,A,4530
16453,20210531,2020,INDL,C,D,STD,NEOG,USD,A,3510
16477,20211231,2021,INDL,C,D,STD,LEA,USD,A,2510
16478,20211231,2021,INDL,C,D,STD,EOG,USD,A,1010
16486,20211231,2021,INDL,C,D,STD,BCC,USD,A,2010
16549,20211231,2021,INDL,C,D,STD,SFBS,USD,A,4010
16597,20211231,2021,INDL,C,D,STD,LSCC,USD,A,4530
16653,20211231,2021,INDL,C,D,STD,TMHC,USD,A,2520
16668,20211231,2021,INDL,C,D,STD,AROW,USD,A,4010
16705,20211231,2021,INDL,C,D,STD,CPF,USD,A,4010
16710,20210930,2021,INDL,C,D,STD,DGII,USD,A,4520
16721,20210331,2020,INDL,C,D,STD,EA,USD,A,5020
16745,20211231,2021,INDL,C,D,STD,PRTA,USD,A,3520
16777,20211231,2021,INDL,C,D,STD,FBNC,USD,A,4010
16781,20211231,2021,INDL,C,D,STD,CHCO,USD,A,4010
16790,20211231,2021,INDL,C,D,STD,CBU,USD,A,4010
16821,20211231,2021,INDL,C,D,STD,FBP,USD,A,4010
16832,20211231,2021,INDL,C,D,STD,GBCI,USD,A,4010
16845,20211231,2021,INDL,C,D,STD,FRME,USD,A,4010
16889,20211231,2021,INDL,C,D,STD,INDB,USD,A,4010
16890,20211231,2021,INDL,C,D,STD,IBCP,USD,A,4010
16967,20211231,2021,INDL,C,D,STD,HIFS,USD,A,4010
16981,20211231,2021,INDL,C,D,STD,OFG,USD,A,4010
17010,20211231,2021,INDL,C,D,STD,LSXMK,USD,A,5020
17035,20211231,2021,INDL,C,D,STD,MCY,USD,A,4030
17073,20211231,2021,INDL,C,D,STD,NWLI,USD,A,4030
17095,20211231,2021,INDL,C,D,STD,ONB,USD,A,4010
17101,20211231,2021,INDL,C,D,STD,IMGN,USD,A,3520
17106,20211231,2021,INDL,C,D,STD,PEBO,USD,A,4010
17115,20211231,2021,INDL,C,D,STD,SIGI,USD,A,4030
17120,20211231,2021,INDL,C,D,STD,SIVB,USD,A,4010
17132,20211231,2021,INDL,C,D,STD,WSFS,USD,A,4010
17145,20210930,2021,INDL,C,D,STD,WAFD,USD,A,4010
17150,20211231,2021,INDL,C,D,STD,WBS,USD,A,4010
17151,20211231,2021,INDL,C,D,STD,WSBC,USD,A,4010
17184,20211231,2021,INDL,C,D,STD,SBCF,USD,A,4010
17195,20211231,2021,INDL,C,D,STD,FFBC,USD,A,4010
17199,20211231,2021,INDL,C,D,STD,BLFS,USD,A,3510
17240,20211231,2021,INDL,C,D,STD,TMP,USD,A,4010
17245,20211231,2021,INDL,C,D,STD,TRST,USD,A,4010
17248,20211231,2021,INDL,C,D,STD,UBSI,USD,A,4010
17252,20211231,2021,INDL,C,D,STD,UFCS,USD,A,4030
17277,20211231,2021,INDL,C,D,STD,NVEE,USD,A,2010
17306,20211231,2021,INDL,C,D,STD,PFSI,USD,A,4010
17341,20211231,2021,INDL,C,D,STD,ARTNA,USD,A,5510
17367,20211231,2021,INDL,C,D,STD,AMNB,USD,A,4010
17451,20211231,2021,INDL,C,D,STD,IBTX,USD,A,4010
17498,20211231,2021,INDL,C,D,STD,CMRX,USD,A,3520
17534,20211231,2021,INDL,C,D,STD,CCNE,USD,A,4010
17553,20210930,2021,INDL,C,D,STD,MODN,USD,A,4510
17626,20211231,2021,INDL,C,D,STD,AHH,USD,A,6010
17639,20211231,2021,INDL,C,D,STD,AMH,USD,A,6010
17696,20211231,2021,INDL,C,D,STD,TSC,USD,A,4010
17724,20211231,2021,INDL,C,D,STD,CNOB,USD,A,4010
17769,20211231,2021,INDL,C,D,STD,HASI,USD,A,4020
17808,20211231,2021,INDL,C,D,STD,EPZM,USD,A,3520
17811,20211231,2021,INDL,C,D,STD,ECOM,USD,A,4510
17874,20211231,2021,INDL,C,D,STD,TMUS,USD,A,5010
17875,20211231,2021,INDL,C,D,STD,NCBS,USD,A,4010
17878,20211231,2021,INDL,C,D,STD,NRZ,USD,A,4020
17934,20211231,2021,INDL,C,D,STD,SFM,USD,A,3010
17997,20211231,2021,INDL,C,D,STD,CSTM,USD,A,1510
17998,20211231,2021,INDL,C,D,STD,BLUE,USD,A,3520
18004,20211231,2021,INDL,C,D,STD,CCS,USD,A,2520
18009,20211231,2021,INDL,C,D,STD,NSTG,USD,A,3520
18036,20211231,2021,INDL,C,D,STD,COMM,USD,A,4520
18037,20211231,2021,INDL,C,D,STD,CZNC,USD,A,4010
18043,20210630,2021,INDL,C,D,STD,NWSA,USD,A,5020
18047,20211231,2021,INDL,C,D,STD,NDLS,USD,A,2530
18049,20211231,2021,INDL,C,D,STD,FNB,USD,A,4010
18071,20211231,2021,INDL,C,D,STD,REXR,USD,A,6010
18145,20211231,2021,INDL,C,D,STD,DOC,USD,A,6010
18159,20211231,2021,INDL,C,D,STD,AGIO,USD,A,3520
18162,20211231,2021,INDL,C,D,STD,ESPR,USD,A,3520
18204,20211231,2021,INDL,C,D,STD,ANIP,USD,A,3520
18241,20211231,2021,INDL,C,D,STD,FCF,USD,A,4010
18307,20211231,2021,INDL,C,D,STD,FLIC,USD,A,4010
18312,20211231,2021,INDL,C,D,STD,USFD,USD,A,3010
18320,20211231,2021,INDL,C,D,STD,FOXF,USD,A,2510
18329,20211231,2021,INDL,C,D,STD,BUSE,USD,A,4010
18383,20211231,2021,INDL,C,D,STD,BRX,USD,A,6010
18465,20211231,2021,INDL,C,D,STD,AR,USD,A,1010
18494,20211231,2021,INDL,C,D,STD,IRT,USD,A,6010
18498,20211231,2021,INDL,C,D,STD,MUSA,USD,A,2550
18533,20211231,2021,INDL,C,D,STD,HBNC,USD,A,4010
18556,20211231,2021,INDL,C,D,STD,CHGG,USD,A,2530
18561,20211231,2021,INDL,C,D,STD,BNFT,USD,A,4510
18562,20211231,2021,INDL,C,D,STD,FATE,USD,A,3520
18578,20211231,2021,INDL,C,D,STD,RMAX,USD,A,6010
18624,20210630,2021,INDL,C,D,STD,PINC,USD,A,3510
18626,20211231,2021,INDL,C,D,STD,GLOB,USD,A,4510
18629,20211231,2021,INDL,C,D,STD,LGIH,USD,A,2520
18630,20211231,2021,INDL,C,D,STD,RNG,USD,A,4510
18658,20211231,2021,INDL,C,D,STD,MGNX,USD,A,3520
18675,20210131,2020,INDL,C,D,STD,BURL,USD,A,2550
18683,20210131,2020,INDL,C,D,STD,SAIC,USD,A,2020
18689,20210131,2020,INDL,C,D,STD,VEEV,USD,A,3510
18699,20210930,2021,INDL,C,D,STD,PTC,USD,A,4510
18732,20211231,2021,INDL,C,D,STD,LKFN,USD,A,4010
18745,20211231,2021,INDL,C,D,STD,ESNT,USD,A,4010
18749,20211231,2021,INDL,C,D,STD,AERI,USD,A,3520
18792,20211231,2021,INDL,C,D,STD,GLPI,USD,A,6010
18842,20210331,2020,INDL,C,D,STD,TCS,USD,A,2550
18869,20211231,2021,INDL,C,D,STD,WIX,USD,A,4510
18872,20211231,2021,INDL,C,D,STD,TWTR,USD,A,5020
18899,20211231,2021,INDL,C,D,STD,TNDM,USD,A,3510
18930,20211231,2021,INDL,C,D,STD,KPTI,USD,A,3520
18938,20211231,2021,INDL,C,D,STD,XNCR,USD,A,3520
18947,20211231,2021,INDL,C,D,STD,VCYT,USD,A,3520
19000,20211231,2021,INDL,C,D,STD,MMI,USD,A,6010
19044,20211231,2021,INDL,C,D,STD,VRNS,USD,A,4510
19071,20211231,2021,INDL,C,D,STD,CWH,USD,A,2550
19094,20211231,2021,INDL,C,D,STD,NBTB,USD,A,4010
19149,20211231,2021,INDL,C,D,STD,RARE,USD,A,3520
19150,20211231,2021,INDL,C,D,STD,OSBC,USD,A,4010
19154,20211231,2021,INDL,C,D,STD,CARA,USD,A,3520
19172,20210630,2021,INDL,C,D,STD,AMRK,USD,A,4020
19262,20211231,2021,INDL,C,D,STD,CTBI,USD,A,4010
19274,20211231,2021,INDL,C,D,STD,INGN,USD,A,3510
19318,20211231,2021,INDL,C,D,STD,PRK,USD,A,4010
19355,20211231,2021,INDL,C,D,STD,SFNC,USD,A,4010
19391,20210630,2021,INDL,C,D,STD,MBUU,USD,A,2520
19398,20211231,2021,INDL,C,D,STD,DENN,USD,A,2530
19402,20210131,2020,INDL,C,D,STD,GIII,USD,A,2520
19412,20211231,2021,INDL,C,D,STD,ITCI,USD,A,3520
19428,20211231,2021,INDL,C,D,STD,GSBC,USD,A,4010
19440,20211231,2021,INDL,C,D,STD,LADR,USD,A,4020
19471,20211231,2021,INDL,C,D,STD,RVNC,USD,A,3520
19507,20211231,2021,INDL,C,D,STD,OUT,USD,A,6010
19516,20211231,2021,INDL,C,D,STD,IBP,USD,A,2520
19517,20211231,2021,INDL,C,D,STD,OGS,USD,A,5510
19518,20211231,2021,INDL,C,D,STD,KN,USD,A,4520
19526,20211231,2021,INDL,C,D,STD,FPI,USD,A,6010
19570,20211231,2021,INDL,C,D,STD,STBA,USD,A,4010
19581,20210131,2020,INDL,C,D,STD,LE,USD,A,2550
19582,20211231,2021,INDL,C,D,STD,CTRE,USD,A,6010
19600,20211231,2021,INDL,C,D,STD,CBAY,USD,A,3520
19602,20211231,2021,INDL,C,D,STD,HEAR,USD,A,4520
19647,20211231,2021,INDL,C,D,STD,LC,USD,A,4020
19649,20211231,2021,INDL,C,D,STD,SABR,USD,A,4510
19730,20210630,2021,INDL,C,D,STD,PCTY,USD,A,4510
19747,20211231,2021,INDL,C,D,STD,QUOT,USD,A,2550
19784,20211231,2021,INDL,C,D,STD,EGRX,USD,A,3520
19817,20211231,2021,INDL,C,D,STD,UVSP,USD,A,4010
19849,20211231,2021,INDL,C,D,STD,ATEN,USD,A,4510
19851,20211231,2021,INDL,C,D,STD,CIO,USD,A,6010
19858,20211231,2021,INDL,C,D,STD,VRTV,USD,A,2010
19859,20211231,2021,INDL,C,D,STD,AKBA,USD,A,3520
19873,20211231,2021,INDL,C,D,STD,WASH,USD,A,4010
19877,20211231,2021,INDL,C,D,STD,QTWO,USD,A,4510
19908,20211231,2021,INDL,C,D,STD,FIVN,USD,A,4510
19927,20211231,2021,INDL,C,D,STD,MC,USD,A,4020
19998,20211231,2021,INDL,C,D,STD,MEDP,USD,A,3520
20011,20211231,2021,INDL,C,D,STD,TMST,USD,A,1510
20018,20211231,2021,INDL,C,D,STD,ALDX,USD,A,3520
20019,20211231,2021,INDL,C,D,STD,CVBF,USD,A,4010
20088,20210131,2020,INDL,C,D,STD,BOX,USD,A,4510
20109,20211231,2021,INDL,C,D,STD,CCBG,USD,A,4010
20115,20210630,2021,INDL,C,D,STD,PAHC,USD,A,3520
20116,20211231,2021,INDL,C,D,STD,PAYC,USD,A,4510
20185,20210930,2021,INDL,C,D,STD,SMG,USD,A,1510
20228,20210630,2021,INDL,C,D,STD,CTLT,USD,A,3520
20229,20211231,2021,INDL,C,D,STD,ZEN,USD,A,4510
20232,20211031,2021,INDL,C,D,STD,KEYS,USD,A,4520
